schema_version	sample_id	cell_line	ribo_gsm	rna_gsm	ribo_gse	ribo_genome_bam	ribo_genome_bai	ribo_txome_bam	ribo_txome_bai	rna_genome_bam	rna_genome_bai	rna_txome_bam	rna_txome_bai
riboflow_paper/cohort-manifest/1	Huh7	Huh7	GSM2838831	GSM2838830	GSE106483	Huh7/genome/alignment_ribo/merged/Huh7.post_dedup.bam	Huh7/genome/alignment_ribo/merged/Huh7.post_dedup.bam.bai	Huh7/transcriptome/alignment_ribo/merged/Huh7.transcriptome.post_dedup.bam	Huh7/transcriptome/alignment_ribo/merged/Huh7.transcriptome.post_dedup.bam.bai	Huh7/rnaseq/genome/alignment_ribo/merged/Huh7.rnaseq.post_dedup.bam	Huh7/rnaseq/genome/alignment_ribo/merged/Huh7.rnaseq.post_dedup.bam.bai	Huh7/rnaseq/transcriptome/alignment_ribo/merged/Huh7.rnaseq.transcriptome.post_dedup.bam	Huh7/rnaseq/transcriptome/alignment_ribo/merged/Huh7.rnaseq.transcriptome.post_dedup.bam.bai
riboflow_paper/cohort-manifest/1	LuCaP-PDX	LuCaP-PDX	GSM4504140	GSM4504138	GSE130465	LuCaP-PDX/genome/alignment_ribo/merged/LuCaP-PDX.post_dedup.bam	LuCaP-PDX/genome/alignment_ribo/merged/LuCaP-PDX.post_dedup.bam.bai	LuCaP-PDX/transcriptome/alignment_ribo/merged/LuCaP-PDX.transcriptome.post_dedup.bam	LuCaP-PDX/transcriptome/alignment_ribo/merged/LuCaP-PDX.transcriptome.post_dedup.bam.bai	LuCaP-PDX/rnaseq/genome/alignment_ribo/merged/LuCaP-PDX.rnaseq.post_dedup.bam	LuCaP-PDX/rnaseq/genome/alignment_ribo/merged/LuCaP-PDX.rnaseq.post_dedup.bam.bai	LuCaP-PDX/rnaseq/transcriptome/alignment_ribo/merged/LuCaP-PDX.rnaseq.transcriptome.post_dedup.bam	LuCaP-PDX/rnaseq/transcriptome/alignment_ribo/merged/LuCaP-PDX.rnaseq.transcriptome.post_dedup.bam.bai
riboflow_paper/cohort-manifest/1	MCF10A	MCF10A	GSM1608276	GSM1608261	GSE65885	MCF10A/genome/alignment_ribo/merged/MCF10A.post_dedup.bam	MCF10A/genome/alignment_ribo/merged/MCF10A.post_dedup.bam.bai	MCF10A/transcriptome/alignment_ribo/merged/MCF10A.transcriptome.post_dedup.bam	MCF10A/transcriptome/alignment_ribo/merged/MCF10A.transcriptome.post_dedup.bam.bai	MCF10A/rnaseq/genome/alignment_ribo/merged/MCF10A.rnaseq.post_dedup.bam	MCF10A/rnaseq/genome/alignment_ribo/merged/MCF10A.rnaseq.post_dedup.bam.bai	MCF10A/rnaseq/transcriptome/alignment_ribo/merged/MCF10A.rnaseq.transcriptome.post_dedup.bam	MCF10A/rnaseq/transcriptome/alignment_ribo/merged/MCF10A.rnaseq.transcriptome.post_dedup.bam.bai
riboflow_paper/cohort-manifest/1	RD-CCL-136	RD-CCL-136	GSM2760255	GSM2760254	GSE103308	RD-CCL-136/genome/alignment_ribo/merged/RD-CCL-136.post_dedup.bam	RD-CCL-136/genome/alignment_ribo/merged/RD-CCL-136.post_dedup.bam.bai	RD-CCL-136/transcriptome/alignment_ribo/merged/RD-CCL-136.transcriptome.post_dedup.bam	RD-CCL-136/transcriptome/alignment_ribo/merged/RD-CCL-136.transcriptome.post_dedup.bam.bai	RD-CCL-136/rnaseq/genome/alignment_ribo/merged/RD-CCL-136.rnaseq.post_dedup.bam	RD-CCL-136/rnaseq/genome/alignment_ribo/merged/RD-CCL-136.rnaseq.post_dedup.bam.bai	RD-CCL-136/rnaseq/transcriptome/alignment_ribo/merged/RD-CCL-136.rnaseq.transcriptome.post_dedup.bam	RD-CCL-136/rnaseq/transcriptome/alignment_ribo/merged/RD-CCL-136.rnaseq.transcriptome.post_dedup.bam.bai
riboflow_paper/cohort-manifest/1	U-251	U-251	GSM4192431	GSM4192414	GSE141013	U-251/genome/alignment_ribo/merged/U-251.post_dedup.bam	U-251/genome/alignment_ribo/merged/U-251.post_dedup.bam.bai	U-251/transcriptome/alignment_ribo/merged/U-251.transcriptome.post_dedup.bam	U-251/transcriptome/alignment_ribo/merged/U-251.transcriptome.post_dedup.bam.bai	U-251/rnaseq/genome/alignment_ribo/merged/U-251.rnaseq.post_dedup.bam	U-251/rnaseq/genome/alignment_ribo/merged/U-251.rnaseq.post_dedup.bam.bai	U-251/rnaseq/transcriptome/alignment_ribo/merged/U-251.rnaseq.transcriptome.post_dedup.bam	U-251/rnaseq/transcriptome/alignment_ribo/merged/U-251.rnaseq.transcriptome.post_dedup.bam.bai
riboflow_paper/cohort-manifest/1	U-343	U-343	GSM4192441	GSM4192424	GSE141013	U-343/genome/alignment_ribo/merged/U-343.post_dedup.bam	U-343/genome/alignment_ribo/merged/U-343.post_dedup.bam.bai	U-343/transcriptome/alignment_ribo/merged/U-343.transcriptome.post_dedup.bam	U-343/transcriptome/alignment_ribo/merged/U-343.transcriptome.post_dedup.bam.bai	U-343/rnaseq/genome/alignment_ribo/merged/U-343.rnaseq.post_dedup.bam	U-343/rnaseq/genome/alignment_ribo/merged/U-343.rnaseq.post_dedup.bam.bai	U-343/rnaseq/transcriptome/alignment_ribo/merged/U-343.rnaseq.transcriptome.post_dedup.bam	U-343/rnaseq/transcriptome/alignment_ribo/merged/U-343.rnaseq.transcriptome.post_dedup.bam.bai
riboflow_paper/cohort-manifest/1	U2OS	U2OS	GSM1248729	GSM1248728	GSE51584	U2OS/genome/alignment_ribo/merged/U2OS.post_dedup.bam	U2OS/genome/alignment_ribo/merged/U2OS.post_dedup.bam.bai	U2OS/transcriptome/alignment_ribo/merged/U2OS.transcriptome.post_dedup.bam	U2OS/transcriptome/alignment_ribo/merged/U2OS.transcriptome.post_dedup.bam.bai	U2OS/rnaseq/genome/alignment_ribo/merged/U2OS.rnaseq.post_dedup.bam	U2OS/rnaseq/genome/alignment_ribo/merged/U2OS.rnaseq.post_dedup.bam.bai	U2OS/rnaseq/transcriptome/alignment_ribo/merged/U2OS.rnaseq.transcriptome.post_dedup.bam	U2OS/rnaseq/transcriptome/alignment_ribo/merged/U2OS.rnaseq.transcriptome.post_dedup.bam.bai
riboflow_paper/cohort-manifest/1	cardiac_fibroblasts	cardiac fibroblasts	GSM3490787	GSM3490807	GSE131112	cardiac_fibroblasts/genome/alignment_ribo/merged/cardiac_fibroblasts.post_dedup.bam	cardiac_fibroblasts/genome/alignment_ribo/merged/cardiac_fibroblasts.post_dedup.bam.bai	cardiac_fibroblasts/transcriptome/alignment_ribo/merged/cardiac_fibroblasts.transcriptome.post_dedup.bam	cardiac_fibroblasts/transcriptome/alignment_ribo/merged/cardiac_fibroblasts.transcriptome.post_dedup.bam.bai	cardiac_fibroblasts/rnaseq/genome/alignment_ribo/merged/cardiac_fibroblasts.rnaseq.post_dedup.bam	cardiac_fibroblasts/rnaseq/genome/alignment_ribo/merged/cardiac_fibroblasts.rnaseq.post_dedup.bam.bai	cardiac_fibroblasts/rnaseq/transcriptome/alignment_ribo/merged/cardiac_fibroblasts.rnaseq.transcriptome.post_dedup.bam	cardiac_fibroblasts/rnaseq/transcriptome/alignment_ribo/merged/cardiac_fibroblasts.rnaseq.transcriptome.post_dedup.bam.bai
riboflow_paper/cohort-manifest/1	early_neurons	early neurons	GSM4736516	GSM4736515	GSE156671	early_neurons/genome/alignment_ribo/merged/early_neurons.post_dedup.bam	early_neurons/genome/alignment_ribo/merged/early_neurons.post_dedup.bam.bai	early_neurons/transcriptome/alignment_ribo/merged/early_neurons.transcriptome.post_dedup.bam	early_neurons/transcriptome/alignment_ribo/merged/early_neurons.transcriptome.post_dedup.bam.bai	early_neurons/rnaseq/genome/alignment_ribo/merged/early_neurons.rnaseq.post_dedup.bam	early_neurons/rnaseq/genome/alignment_ribo/merged/early_neurons.rnaseq.post_dedup.bam.bai	early_neurons/rnaseq/transcriptome/alignment_ribo/merged/early_neurons.rnaseq.transcriptome.post_dedup.bam	early_neurons/rnaseq/transcriptome/alignment_ribo/merged/early_neurons.rnaseq.transcriptome.post_dedup.bam.bai
riboflow_paper/cohort-manifest/1	fibroblast	fibroblast	GSM1585244	GSM1585236	GSE64962	fibroblast/genome/alignment_ribo/merged/fibroblast.post_dedup.bam	fibroblast/genome/alignment_ribo/merged/fibroblast.post_dedup.bam.bai	fibroblast/transcriptome/alignment_ribo/merged/fibroblast.transcriptome.post_dedup.bam	fibroblast/transcriptome/alignment_ribo/merged/fibroblast.transcriptome.post_dedup.bam.bai	fibroblast/rnaseq/genome/alignment_ribo/merged/fibroblast.rnaseq.post_dedup.bam	fibroblast/rnaseq/genome/alignment_ribo/merged/fibroblast.rnaseq.post_dedup.bam.bai	fibroblast/rnaseq/transcriptome/alignment_ribo/merged/fibroblast.rnaseq.transcriptome.post_dedup.bam	fibroblast/rnaseq/transcriptome/alignment_ribo/merged/fibroblast.rnaseq.transcriptome.post_dedup.bam.bai
riboflow_paper/cohort-manifest/1	hESC	hESC	GSM2082526	GSM2082514	GSE78961	hESC/genome/alignment_ribo/merged/hESC.post_dedup.bam	hESC/genome/alignment_ribo/merged/hESC.post_dedup.bam.bai	hESC/transcriptome/alignment_ribo/merged/hESC.transcriptome.post_dedup.bam	hESC/transcriptome/alignment_ribo/merged/hESC.transcriptome.post_dedup.bam.bai	hESC/rnaseq/genome/alignment_ribo/merged/hESC.rnaseq.post_dedup.bam	hESC/rnaseq/genome/alignment_ribo/merged/hESC.rnaseq.post_dedup.bam.bai	hESC/rnaseq/transcriptome/alignment_ribo/merged/hESC.rnaseq.transcriptome.post_dedup.bam	hESC/rnaseq/transcriptome/alignment_ribo/merged/hESC.rnaseq.transcriptome.post_dedup.bam.bai
riboflow_paper/cohort-manifest/1	megakaryocytes	megakaryocytes	GSM4832654	GSM4832648	GSE159579	megakaryocytes/genome/alignment_ribo/merged/megakaryocytes.post_dedup.bam	megakaryocytes/genome/alignment_ribo/merged/megakaryocytes.post_dedup.bam.bai	megakaryocytes/transcriptome/alignment_ribo/merged/megakaryocytes.transcriptome.post_dedup.bam	megakaryocytes/transcriptome/alignment_ribo/merged/megakaryocytes.transcriptome.post_dedup.bam.bai	megakaryocytes/rnaseq/genome/alignment_ribo/merged/megakaryocytes.rnaseq.post_dedup.bam	megakaryocytes/rnaseq/genome/alignment_ribo/merged/megakaryocytes.rnaseq.post_dedup.bam.bai	megakaryocytes/rnaseq/transcriptome/alignment_ribo/merged/megakaryocytes.rnaseq.transcriptome.post_dedup.bam	megakaryocytes/rnaseq/transcriptome/alignment_ribo/merged/megakaryocytes.rnaseq.transcriptome.post_dedup.bam.bai
riboflow_paper/cohort-manifest/1	neurons	neurons	GSM4736518	GSM4736517	GSE156671	neurons/genome/alignment_ribo/merged/neurons.post_dedup.bam	neurons/genome/alignment_ribo/merged/neurons.post_dedup.bam.bai	neurons/transcriptome/alignment_ribo/merged/neurons.transcriptome.post_dedup.bam	neurons/transcriptome/alignment_ribo/merged/neurons.transcriptome.post_dedup.bam.bai	neurons/rnaseq/genome/alignment_ribo/merged/neurons.rnaseq.post_dedup.bam	neurons/rnaseq/genome/alignment_ribo/merged/neurons.rnaseq.post_dedup.bam.bai	neurons/rnaseq/transcriptome/alignment_ribo/merged/neurons.rnaseq.transcriptome.post_dedup.bam	neurons/rnaseq/transcriptome/alignment_ribo/merged/neurons.rnaseq.transcriptome.post_dedup.bam.bai
riboflow_paper/cohort-manifest/1	normal_prostate	normal prostate	GSM3739081	GSM3739076	GSE130465	normal_prostate/genome/alignment_ribo/merged/normal_prostate.post_dedup.bam	normal_prostate/genome/alignment_ribo/merged/normal_prostate.post_dedup.bam.bai	normal_prostate/transcriptome/alignment_ribo/merged/normal_prostate.transcriptome.post_dedup.bam	normal_prostate/transcriptome/alignment_ribo/merged/normal_prostate.transcriptome.post_dedup.bam.bai	normal_prostate/rnaseq/genome/alignment_ribo/merged/normal_prostate.rnaseq.post_dedup.bam	normal_prostate/rnaseq/genome/alignment_ribo/merged/normal_prostate.rnaseq.post_dedup.bam.bai	normal_prostate/rnaseq/transcriptome/alignment_ribo/merged/normal_prostate.rnaseq.transcriptome.post_dedup.bam	normal_prostate/rnaseq/transcriptome/alignment_ribo/merged/normal_prostate.rnaseq.transcriptome.post_dedup.bam.bai
