sample	n_reads	cross_pc_pp	cross_pp_pc	same_pc_pc	same_pp_pp	n_qualifying	pct_cross_pc_pp	pct_cross_pp_pc	pct_same_pc_pc	pct_same_pp_pp	pct_n_qualifying
A2780	439414	74043	164647	29947	546	269183	16.850396209497195	37.46967552240029	6.815212988207021	0.1242563960183335	61.25954111612284
A549	358893	59185	141546	18378	290	219399	16.490987564538734	39.43961013449691	5.120746294856684	0.0808040279414755	61.13214802183381
BJ	328480	53716	117987	23594	361	195658	16.352898197759377	35.919081831466144	7.18278129566488	0.1099001461276181	59.56466147101802
BRx-142	286618	43385	101275	16204	388	161252	15.136872073631103	35.33448701756345	5.653517922810152	0.1353718189367032	56.26024883294141
Cybrid_Cells	475899	73154	157399	27180	526	258259	15.371749047592033	33.07403461658881	5.711295884210726	0.1105276539769993	54.267607202368566
H1-hESC	575587	98259	214915	40538	580	354292	17.071094378434537	37.33840409877221	7.042897077244621	0.1007666955647017	61.55316225001607
H9-hESC	348706	60137	134768	20733	332	215970	17.245760038542496	38.648030145738815	5.9456963745963645	0.0952091446662804	61.93469570354396
HEK293	1130835	190498	417394	78532	1091	687515	16.845782099068387	36.91024773729147	6.94460288194122	0.0964773817577277	60.79711010005881
HEK293T	451663	79239	180024	28223	486	287972	17.543832459156494	39.85803574789168	6.248685413682325	0.1076023495393689	63.75815597026987
HeLa	764045	131545	280652	53036	1119	466352	17.216917851697218	36.73239141673592	6.941475960185591	0.1464573421722542	61.03724257079099
Huh7	737593	117071	260992	54281	920	433264	15.872032408116672	35.38428374455831	7.359207584670679	0.1247300340431647	58.74025377138883
LuCaP-PDX	584512	97825	211219	40006	867	349917	16.736183346107524	36.1359561480346	6.844341946786379	0.1483288623672397	59.86481030329574
MCF10A	236257	43918	103525	12140	285	159868	18.589078842108385	43.81880748506923	5.138472087599521	0.1206313463728058	67.66698976114994
RD-CCL-136	1028298	154667	350408	65186	794	571055	15.041067861651	34.07650311485581	6.339212951887488	0.0772149707575041	55.53399889915181
U-251	808765	135576	313274	49441	1004	499295	16.763336692364284	38.734861177227	6.113147824151639	0.124139892304934	61.735485586047865
U-343	973868	158746	352782	68449	1108	581085	16.300566401196054	36.22482718397154	7.028570607104864	0.1137731191496178	59.66773731142208
U2OS	502376	71327	163153	29344	522	264346	14.197931429845374	32.47627275188305	5.841043361944042	0.103906237559119	52.61915378123159
cardiac_fibroblasts	498383	83575	182805	36205	632	303217	16.769231695302608	36.6796218972156	7.264493371563637	0.1268101038759347	60.840157067957776
early_neurons	732717	111539	252428	40926	783	405676	15.222657588127475	34.450954461272225	5.585512551230557	0.1068625403805289	55.365987141010784
fibroblast	331204	50446	109703	21898	441	182488	15.231096242799	33.12248644340044	6.611635125179648	0.1331505658144225	55.09836837719351
hESC	694053	105510	233760	52124	739	392133	15.202009068471716	33.68042498195383	7.510089287129369	0.1064760184020528	56.49899935595697
megakaryocytes	261794	42458	88258	21676	358	152750	16.21809514350978	33.71276652635278	8.279792508613642	0.1367487413768077	58.34740291985302
neurons	476469	75343	173876	26189	525	275933	15.812781104332077	36.492615469212055	5.496475111707163	0.11018555247036	57.912057237721655
normal_prostate	380949	58407	125547	27639	442	212035	15.331973571265443	32.956379987872396	7.255301890804281	0.1160260297310138	55.65968147967313
