sample	alignment	read_length	method	n_down_first10	dom_frac	dom_frame	offset_periodicity	offset_argmax	offset_in_table	reproduces_table	periodicity_changed_value
U-251	genome	27	periodicity	19532	0.5246	1	11	11	11	True	False
U-251	genome	28	periodicity	30787	0.6029	1	11	11	11	True	False
U-251	genome	29	periodicity	27065	0.5506	1	11	11	11	True	False
U-251	genome	30	periodicity	13417	0.46	0	12	12	12	True	False
U-343	genome	24	periodicity	7977	0.4157	1	11	7	11	True	True
U-343	genome	25	periodicity	10894	0.4887	1	11	11	11	True	False
U-343	genome	26	periodicity	17485	0.4388	1	11	11	11	True	False
U-343	genome	27	periodicity	29772	0.5019	1	11	11	11	True	False
U-343	genome	28	periodicity	40681	0.5794	1	11	11	11	True	False
U-343	genome	29	periodicity	31521	0.5415	1	11	11	11	True	False
U-343	genome	30	periodicity	13743	0.4417	1	11	12	11	True	True
U2OS	genome	24	periodicity	1547	0.5229	1	11	11	11	True	False
U2OS	genome	25	periodicity	913	0.4644	1	11	11	11	True	False
U2OS	genome	26	periodicity	1377	0.451	1	11	11	11	True	False
U2OS	genome	27	periodicity	2864	0.4511	1	11	11	11	True	False
U2OS	genome	28	periodicity	7623	0.5325	1	11	11	11	True	False
U2OS	genome	29	periodicity	8051	0.5182	1	11	11	11	True	False
U2OS	genome	30	periodicity	3225	0.4564	1	11	11	11	True	False
cardiac_fibroblasts	genome	24	periodicity	1913	0.5055	1	11	7	11	True	True
cardiac_fibroblasts	genome	25	periodicity	2430	0.5881	1	11	11	11	True	False
cardiac_fibroblasts	genome	26	periodicity	4450	0.4148	1	11	10	11	True	True
cardiac_fibroblasts	genome	27	periodicity	13812	0.6505	1	11	11	11	True	False
cardiac_fibroblasts	genome	28	periodicity	20123	0.7272	1	11	11	11	True	False
cardiac_fibroblasts	genome	29	periodicity	10809	0.6168	1	11	11	11	True	False
early_neurons	genome	23	periodicity	6244	0.5524	1	11	11	11	True	False
early_neurons	genome	24	periodicity	8321	0.5747	1	11	11	11	True	False
early_neurons	genome	25	periodicity	11754	0.5441	1	11	11	11	True	False
early_neurons	genome	26	periodicity	17137	0.5185	1	11	11	11	True	False
early_neurons	genome	27	periodicity	25907	0.6304	1	11	11	11	True	False
early_neurons	genome	28	periodicity	26354	0.687	1	11	11	11	True	False
early_neurons	genome	29	periodicity	11457	0.651	1	11	11	11	True	False
fibroblast	genome	23	periodicity	1757	0.4855	1	11	12	11	True	True
fibroblast	genome	24	periodicity	2472	0.5235	1	11	7	11	True	True
fibroblast	genome	25	periodicity	4160	0.5269	1	11	11	11	True	False
fibroblast	genome	26	periodicity	7665	0.487	1	11	9	11	True	True
fibroblast	genome	27	periodicity	13814	0.5735	1	11	11	11	True	False
fibroblast	genome	28	periodicity	18394	0.6676	1	11	11	11	True	False
fibroblast	genome	29	periodicity	12535	0.5864	1	11	11	11	True	False
fibroblast	genome	30	periodicity	4608	0.4371	0	12	12	12	True	False
hESC	genome	23	periodicity	9801	0.448	1	11	12	11	True	True
hESC	genome	24	periodicity	10941	0.4647	1	11	7	11	True	True
hESC	genome	25	periodicity	14336	0.5006	1	11	11	11	True	False
hESC	genome	26	periodicity	21509	0.4379	1	11	9	11	True	True
hESC	genome	27	periodicity	35092	0.546	1	11	11	11	True	False
hESC	genome	28	periodicity	40551	0.6554	1	11	11	11	True	False
hESC	genome	29	periodicity	22157	0.6598	1	11	11	11	True	False
megakaryocytes	genome	25	periodicity	7107	0.4995	1	11	11	11	True	False
megakaryocytes	genome	26	periodicity	11366	0.4752	1	11	11	11	True	False
megakaryocytes	genome	27	periodicity	20231	0.5851	1	11	11	11	True	False
megakaryocytes	genome	28	periodicity	27663	0.6352	1	11	11	11	True	False
megakaryocytes	genome	29	periodicity	27091	0.5902	1	11	11	11	True	False
megakaryocytes	genome	30	periodicity	14971	0.4675	1	11	12	11	True	True
neurons	genome	23	periodicity	3639	0.5392	1	11	11	11	True	False
neurons	genome	24	periodicity	4963	0.5541	1	11	11	11	True	False
neurons	genome	25	periodicity	7251	0.5409	1	11	11	11	True	False
neurons	genome	26	periodicity	11162	0.5046	1	11	11	11	True	False
neurons	genome	27	periodicity	17938	0.6119	1	11	11	11	True	False
neurons	genome	28	periodicity	19756	0.6685	1	11	11	11	True	False
neurons	genome	29	periodicity	9726	0.6229	1	11	11	11	True	False
normal_prostate	genome	25	periodicity	1919	0.5154	1	11	11	11	True	False
normal_prostate	genome	26	periodicity	4264	0.4006	2	10	10	10	True	False
normal_prostate	genome	27	periodicity	12315	0.6203	1	11	11	11	True	False
normal_prostate	genome	28	periodicity	13162	0.6769	1	11	11	11	True	False
normal_prostate	genome	29	periodicity	5762	0.6168	1	11	11	11	True	False
normal_prostate	genome	30	periodicity	2645	0.4934	1	11	11	11	True	False
A2780	transcriptome	26	periodicity	8733	0.4745	1	11	11	11	True	False
A2780	transcriptome	27	periodicity	17410	0.6434	1	11	11	11	True	False
A2780	transcriptome	28	periodicity	20102	0.7254	1	11	11	11	True	False
A2780	transcriptome	29	periodicity	9238	0.6386	1	11	11	11	True	False
A549	transcriptome	23	periodicity	2605	0.5562	1	11	12	11	True	True
