transcript_id	gene_name	n_lines	drna_mean	drna_sd	dribo_mean	dribo_sd	dte_mean	dte_sd	dte_ci_low	dte_ci_high	dte_t	dte_p	dte_padj
ENST00000000233.10	ARF5	24	0.116732759419789	0.115044364888037	0.0467206286981907	0.0449350287702877	-0.0700121307215981	0.100407826432767	-0.112410637371349	-0.0276136240718472	-3.41594877940679	0.00236527464843143	0.00893162851113454
ENST00000000412.8	M6PR	24	0.084392910931592	0.146288125894466	-0.0148709479513853	0.0536796694286261	-0.0992638588829773	0.137052426070704	-0.157136022882206	-0.0413916948837482	-3.54821598032119	0.00171402191876913	0.00716070656691255
ENST00000001008.6	FKBP4	24	-0.217076249731488	0.153400477877807	-0.451389697131644	0.0554918978123188	-0.234313447400156	0.149309166523727	-0.297361178982752	-0.17126571581756	-7.68805290881643	8.42836238861333e-08	2.87283210946e-06
ENST00000001146.6	CYP26B1	21	0.203371663666507	0.534855942183254	0.223096316252709	0.463311692509162	0.0197246525862015	0.432539362892093	-0.177164904849743	0.216614210022146	0.208974538013376	0.836581853854352	0.86401810037591
ENST00000002125.9	NDUFAF7	24	0.0779392227332206	0.117672432611346	-0.0388806121823082	0.0466324498599248	-0.116819834915529	0.114043323249168	-0.164976106900733	-0.0686635629303244	-5.01825059506587	4.45804814084438e-05	0.000449254955689091
ENST00000002165.11	FUCA2	24	0.114442503874828	0.120358726394584	0.0530242319633933	0.0521168566019269	-0.0614182719114343	0.120443472304206	-0.112277089822689	-0.0105594540001796	-2.49815825114289	0.0200754981638084	0.0414566907021339
ENST00000002501.11	DBNDD1	24	0.11981670486679	0.227348408205248	0.0257898207547779	0.0609908912949818	-0.0940268841120118	0.231177861283246	-0.191644733607599	0.0035909653835756	-1.99256007387353	0.0583075895257608	0.0929472702907898
ENST00000003100.13	CYP51A1	24	-1.11410688967783	0.25724898983737	-1.49969326453051	0.135726484763057	-0.385586374852686	0.325926485636136	-0.523213059539728	-0.247959690165645	-5.79572334120175	6.63317989977937e-06	9.66942413315008e-05
ENST00000003302.8	USP28	24	0.0763994138547403	0.0858628220366326	0.0333404454219665	0.073285504652241	-0.0430589684327738	0.111455508176877	-0.0901225019487882	0.00400456508324051	-1.89263865440409	0.0710586300516204	0.10859797753768
ENST00000005178.6	PDK4	16	0.092713286568015	0.169478950132929	0.0598814681467454	0.087883284130141	-0.0328318184212696	0.191473195443843	-0.134860682275184	0.0691970454326446	-0.685878111453962	0.503253974356538	0.558908510667745
ENST00000005257.7	RALA	24	-0.242576169018277	0.151546294969819	-0.360600570241564	0.127042551386466	-0.118024401223288	0.127259151753953	-0.171761228157735	-0.0642875742888403	-4.54347771787013	0.000145235379996907	0.00114498831209807
ENST00000005260.9	BAIAP2L1	24	0.122748303422809	0.153105635764289	0.0535484592172291	0.210943013720508	-0.06919984420558	0.165577882010643	-0.139117251850896	0.000717563439736266	-2.04742694525911	0.0522044941652822	0.085259002660859
ENST00000005286.8	TMEM132A	23	0.114473135315543	0.0929582531500165	0.0535450471544028	0.0394908142060656	-0.0609280881611397	0.0825860376006673	-0.096640968885237	-0.0252152074370424	-3.5381385806553	0.00184696749949286	0.0075261977326381
ENST00000005340.10	DVL2	24	0.251927243104704	0.162056252018873	0.169255357098454	0.0527370876981819	-0.0826718860062502	0.154778136640337	-0.148028961134009	-0.0173148108784908	-2.6166995052979	0.0154217560292405	0.0341334474069649
ENST00000005386.8	RPAP3	24	0.0772697607740862	0.131996669991774	0.0194622845664864	0.0513206928927114	-0.0578074762075998	0.125726635023184	-0.110897178081095	-0.00471777433410456	-2.25248723153352	0.0341358834828113	0.0616296547253934
ENST00000006053.7	CX3CL1	13	0.207819030245045	0.546744855195719	0.0167061127750836	0.0581628569889723	-0.191112917469962	0.549617210139148	-0.523243273514608	0.141017438574685	-1.25372242831881	0.233818005409676	0.287869633984142
ENST00000006777.11	RHBDD2	24	0.162971178538059	0.10273207935232	0.115883948176412	0.0611437642418914	-0.0470872303616467	0.120189343426764	-0.0978387390592385	0.00366427833594504	-1.91929973986759	0.0674372314788265	0.104148464233491
ENST00000007390.3	TSR3	24	0.0870774479734463	0.111250346594147	0.0189666202675682	0.0460912058260264	-0.0681108277058781	0.112317400595297	-0.115538306471302	-0.0206833489404541	-2.97080902787571	0.0068429404796903	0.0188906234442903
ENST00000007414.8	OSBPL7	24	0.122890400101725	0.237393492317045	0.0999631996155556	0.161025240016164	-0.0229272004861692	0.301552342912255	-0.150261587360625	0.104407186388287	-0.372472267197381	0.712951471597306	0.75290637910891
ENST00000008527.10	CRY1	24	0.0635327958430428	0.102011041763216	0.021444454077483	0.0619295282887085	-0.0420883417655597	0.113087886672645	-0.0898411682676551	0.0056644847365357	-1.82327151879528	0.0812867576429501	0.120773363374891
ENST00000009041.11	STARD3NL	24	0.0790569801269692	0.112612085643332	-0.0162553782730175	0.0477391175564462	-0.0953123583999867	0.112080198527288	-0.142639675516512	-0.047985041283461	-4.16606407427801	0.000372204152653054	0.0023609600027894
ENST00000011473.6	SYPL1	24	0.0580863488557644	0.105499873927841	-0.0101316586550554	0.042102384705981	-0.0682180075108198	0.0959119873603876	-0.108718087816942	-0.0277179272046979	-3.48443013787184	0.00200260379022564	0.00793212186977837
ENST00000011619.6	RANBP9	24	0.0664343974315992	0.106745369152017	0.049890768645643	0.0542886405800361	-0.0165436287859562	0.122804980848578	-0.0683996243005829	0.0353123667286705	-0.659964257794699	0.515831945579947	0.571235204713426
ENST00000011898.10	TSPAN9	24	0.0553193533308568	0.128683382208864	-0.00940857428652971	0.0465186287889563	-0.0647279276173865	0.115285781897518	-0.113408843877202	-0.0160470113575707	-2.75056285624782	0.0113895014929452	0.0272094274998437
ENST00000012049.10	QPCTL	24	0.0871140505995119	0.104218072413388	0.0465658483184286	0.0623393572449972	-0.0405482022810833	0.0955062842230936	-0.0808769691769314	-0.000219435385235264	-2.07991351320513	0.0488652977452111	0.0809809717673748
ENST00000012443.9	PPP5C	24	0.241515103723522	0.122185376324215	0.174539335198653	0.0601629470599784	-0.0669757685248691	0.127107267879441	-0.120648460523901	-0.0133030765258375	-2.58138595461422	0.0166901731508193	0.0361800101617398
ENST00000013070.11	UBR7	24	0.0550465283495464	0.0960411094191625	0.0062799335356409	0.038166218908627	-0.0487665948139055	0.0952177219083664	-0.0889735125307155	-0.00855967709709546	-2.50905548658435	0.0195984586203507	0.0406890965516381
ENST00000013125.8	MAP4K5	24	0.0832819476225234	0.119910918734763	0.0129289880513843	0.0511126026000932	-0.0703529595711391	0.12408780049161	-0.122750642313722	-0.017955276828556	-2.77753094439928	0.0107080983371454	0.0260436209818536
ENST00000014914.6	GPRC5A	20	0.0695963856008638	0.0986016783264712	0.0513672003290881	0.0933952488665309	-0.0182291852717757	0.143125568081632	-0.0852140130610146	0.0487556425174632	-0.56959351132678	0.575626653146396	0.627262556023844
ENST00000014930.9	HEBP1	24	0.0462483696844015	0.0766532063892875	0.00298660916459825	0.0326812946931347	-0.0432617605198032	0.0756973963223277	-0.0752259676475224	-0.011297553392084	-2.79981198287908	0.010174435748799	0.0251517781341364
ENST00000016171.6	COX15	24	1.84755267517697	0.447096686238653	1.35836419781471	0.328746004957677	-0.489188477362262	0.534614696746631	-0.714936465147301	-0.263440489577223	-4.48271311985451	0.000169002890620909	0.0012902335305703
ENST00000017003.7	XYLT2	24	0.116859410310363	0.088995063299445	0.0609190040573412	0.0464589575176131	-0.0559404062530214	0.0917082009400143	-0.0946653832347259	-0.0172154292713168	-2.98829221202425	0.00656830656004779	0.0183687511400564
ENST00000020945.4	SNAI2	21	0.109838050391279	0.148178239926085	0.0339840154799649	0.0747514838845541	-0.0758540349113139	0.134818627590307	-0.137222738427436	-0.0144853313951921	-2.57832958962645	0.0179477057722662	0.0380735790215621
ENST00000022615.9	VDAC3	24	-0.100904303130088	0.151741843519347	-0.211488669834258	0.0611909457270476	-0.110584366704169	0.149418449731725	-0.173678244538364	-0.0474904888699749	-3.62572724372904	0.00141775924092054	0.00626397706558448
ENST00000024061.7	SLC45A4	23	0.183587070695771	0.136439339271776	0.186624749776114	0.0863271557843843	0.00303767908034272	0.144052793916623	-0.059255420293101	0.0653307784537864	0.101130958276638	0.92036253351855	0.934965059690259
ENST00000025008.10	RB1CC1	24	0.0897777860574542	0.107859961995265	0.0276246033405296	0.0399441280396772	-0.0621531827169246	0.111103692899007	-0.109068157670044	-0.0152382077638053	-2.74056747483317	0.0116523182836451	0.0276976566889261
ENST00000025301.4	AKAP11	24	0.0803712851785277	0.0946713940291226	0.0236342872491214	0.0342059671964377	-0.0567369979294063	0.0867835389551179	-0.0933824725323375	-0.0200915233264752	-3.20283537955893	0.00395180791591739	0.012781768250519
ENST00000029410.10	B4GALT7	24	0.111178767274428	0.101323264438392	0.031410702476514	0.0708938275250603	-0.0797680647979143	0.128673729463653	-0.134102215512411	-0.025433914083418	-3.03699997409879	0.00585776589568228	0.0168809334837458
ENST00000033079.7	FAM13B	24	0.0879919781482389	0.0806395081911318	0.0808018348956154	0.0954013563062614	-0.00719014325262357	0.115139490972962	-0.0558092862726638	0.0414289997674166	-0.305927740302047	0.762411613438441	0.798516781575969
ENST00000035307.6	CHPF2	24	0.117119758350878	0.0943117794058789	0.0655948401366327	0.0376618680727149	-0.0515249182142454	0.0923668195410769	-0.0905280054402296	-0.0125218309882612	-2.73279429324529	0.0118606560933033	0.0280459382708207
ENST00000037243.7	GABARAPL2	24	0.047953290858468	0.110444692776268	-0.0137947675144053	0.0458786670902806	-0.0617480583728733	0.109390000964297	-0.107939404685968	-0.0155567120597789	-2.76535760650547	0.0110107607595586	0.0265675008208463
ENST00000037869.7	FAM136A	24	-0.324883546079476	0.181296042717009	-0.605057217595964	0.141192863226428	-0.280173671516488	0.193904341074985	-0.362052293796877	-0.1982950492361	-7.07856802764562	3.27436035799329e-07	8.231358392361e-06
ENST00000038176.8	NSMAF	24	0.058245162685333	0.0978705809570074	-0.00276847243693471	0.0541553642049975	-0.0610136351222677	0.0920743262516087	-0.0998932132641585	-0.022134056980377	-3.24633976671209	0.00356094671420104	0.0118630642440216
ENST00000039989.9	TTC17	24	0.0775722311666351	0.100403952999496	0.00983265982691217	0.0479645408128867	-0.0677395713397229	0.0952181530290258	-0.107946671102821	-0.0275324715766243	-3.4852048669039	0.00199882895882992	0.00792217127355677
ENST00000040663.8	MRI1	24	0.123393759707241	0.155295436577824	0.0413757785603085	0.0637892647189409	-0.0820179811469325	0.155345185782954	-0.147614500127807	-0.0164214621660578	-2.58652629021787	0.016499654121093	0.0358742651001648
ENST00000040738.10	BOD1L1	24	0.0842850807198589	0.103602775901409	0.036445612279675	0.037536185422218	-0.0478394684401839	0.10429263223741	-0.0918783847132963	-0.00380055216707142	-2.24718246592297	0.034520691849242	0.0621211642610039
ENST00000040877.2	TARBP1	24	0.0858071888256416	0.0984613716274699	0.0716461573036057	0.157186286500888	-0.014161031522036	0.167437743638317	-0.0848637898555411	0.0565417268114692	-0.414330732207962	0.68247065071311	0.725610309276535
ENST00000042381.9	RIPOR1	24	0.0666121724549829	0.0851657563163158	0.0169869510431748	0.0390390836570081	-0.0496252214118081	0.0706278695496667	-0.0794487551257304	-0.0198016876978859	-3.44216728061116	0.00221942458085925	0.00858245327705429
ENST00000043402.8	RTN4R	22	0.107601943323068	0.168570885313374	0.0643032400511168	0.0849423487450545	-0.0432987032719511	0.166165212723962	-0.116972231288982	0.0303748247450792	-1.22221081583456	0.235169560221096	0.289441379928025
ENST00000044462.12	PSMA4	24	0.153081667383752	0.157848738247007	0.0111790293423884	0.0493950794542649	-0.141902638041364	0.151169316294409	-0.205735841984271	-0.0780694340984573	-4.59867207018718	0.000126561077107976	0.00102999741755922
ENST00000046640.9	CTNS	24	0.165263871913006	0.135777622660552	0.0703709973147485	0.0644338057781411	-0.0948928745982572	0.133721487799349	-0.151358506721781	-0.0384272424747333	-3.47646630047103	0.00204181328382984	0.00803482993083327
ENST00000053468.4	MRPS10	24	-0.715220993738744	0.251818137643574	-0.82398302117406	0.148113233417583	-0.108762027435316	0.303802707281913	-0.23704665984422	0.0195226049735871	-1.75384527011403	0.0927748392858637	0.133860509522395
ENST00000053867.8	GRN	24	0.0622320937842396	0.10091464403186	-0.0128769400026612	0.0328875496642692	-0.0751090337869007	0.0877281572385445	-0.112153385708406	-0.0380646818653956	-4.1942932267711	0.000346932105007629	0.00224614310890134
ENST00000054650.8	THAP3	24	-0.182010289178027	0.166048169468583	-0.163424725556693	0.134336814399102	0.018585563621334	0.224801147028158	-0.0763396355963492	0.113510762839017	0.405025935642575	0.689200957043744	0.731357008623748
ENST00000054666.11	VAMP3	24	0.0899951356869926	0.12619462315405	-0.00320171680126195	0.0551442403524079	-0.0931968524882546	0.121729610052733	-0.144598758740535	-0.0417949462359737	-3.75068537771154	0.00104266378212182	0.00499503465256204
ENST00000054950.4	RCN1	23	-1.69273822077838	0.328018452807323	-2.10921067010978	0.322367018127713	-0.416472449331392	0.49161256768446	-0.629061665405375	-0.203883233257409	-4.06281660068693	0.000517479802080693	0.00301730879664588
ENST00000055077.8	RFC2	24	0.0406759643147777	0.106453021984859	-0.0379555198542093	0.0497725156970995	-0.078631484168987	0.106870389359062	-0.123758891811216	-0.0335040765267578	-3.60449728099393	0.00149350100110919	0.00650194707056888
ENST00000055335.11	PPP1R3F	23	0.0923963076427853	0.109183672008541	0.0407680570763427	0.0666821471072875	-0.0516282505664427	0.134732361586774	-0.109890892761369	0.00663439162848374	-1.83772026738036	0.07964761348356	0.118963293293076
ENST00000056233.4	NFE2L3	23	-0.628984777858775	0.211539934310679	-1.01068030626294	0.303463149781604	-0.381695528404161	0.455934356284307	-0.578856328910565	-0.184534727897757	-4.01493640958855	0.000581577840776024	0.00329096952966472
ENST00000060969.6	SIKE1	24	0.100944457619064	0.119844333888872	0.0290526349733982	0.0572595201029696	-0.0718918226456655	0.132881598059416	-0.128002800436069	-0.0157808448552619	-2.65045400916694	0.0142943194648585	0.0322101629940201
ENST00000061240.7	TLL1	17	0.205960539522892	0.287997380271129	0.0833340492261309	0.158392701982522	-0.122626490296761	0.296752414590686	-0.275202502984589	0.0299495223910678	-1.70378385190128	0.107761763592402	0.15075459660458
ENST00000064780.7	RELT	24	0.102197581201155	0.0977377940879097	0.0295847705137025	0.0566475560217852	-0.072612810687453	0.0874410331760347	-0.109535920750568	-0.0356897006243381	-4.06821210850745	0.000474830519846729	0.00282920868612018
ENST00000066544.8	CDC27	24	-0.720218479237992	0.158357545747859	-0.914955139950729	0.108128417192966	-0.194736660712737	0.157391821222575	-0.261197398045699	-0.128275923379775	-6.06137535298155	3.50271737300585e-06	5.72538669051689e-05
ENST00000072644.7	YIPF1	24	0.0820055940800053	0.146008775476605	0.0294877237076195	0.0432142790639938	-0.0525178703723858	0.152855387763353	-0.117063039855507	0.0120272991107357	-1.68318548233492	0.105866080824716	0.14858689726022
ENST00000072869.9	ADCK2	24	0.0634468708431817	0.0778898515088746	0.0494306017595432	0.0635461710982178	-0.0140162690836385	0.0876228995654487	-0.0510161745878548	0.0229836364205777	-0.783646912456195	0.441243106162313	0.498246616315952
ENST00000075120.12	SLC2A3	20	2.22552752246609	0.637284871741306	1.56156715903269	0.411969174734489	-0.663960363433401	0.394256535478945	-0.848478101862754	-0.479442625004048	-7.53144398836141	4.05887484441839e-07	9.79964595249265e-06
ENST00000075503.8	STYK1	22	0.0961232200208627	0.160449678641951	0.0905877187618162	0.224379384446536	-0.00553550125904645	0.209272106578192	-0.098321555297829	0.0872505527797361	-0.124067190647087	0.902441956435575	0.920147794574334
ENST00000078429.9	GNA11	24	0.13041526500227	0.144428440508002	0.0190798455435465	0.0955663653586427	-0.111335419458724	0.155362995474567	-0.176939458812811	-0.0457313801046365	-3.51068112634647	0.00187849892259224	0.00760515775517524
ENST00000080059.12	HDAC7	24	0.12308111064292	0.114996847216204	0.0664596426838315	0.0736512261482941	-0.0566214679590887	0.12353906472778	-0.10878743991021	-0.00445549600796727	-2.24534167055137	0.0346551436214877	0.0622471263839772
ENST00000081029.8	MRPS35	24	0.0837279758974215	0.129784222121311	-0.00384905709841961	0.0493841413475288	-0.0875770329958411	0.128905417118588	-0.142009016826813	-0.0331450491648695	-3.32831697568376	0.00292375192260626	0.0103365957995985
ENST00000083182.8	APPBP2	24	0.0313984473948091	0.0987193105976776	-0.0191474868217527	0.0423364604645606	-0.0505459342165618	0.0911602365261056	-0.0890395261193105	-0.0120523423138132	-2.71635423779107	0.0123129306926036	0.0288271825851683
ENST00000084798.9	CA11	22	0.0474996795537451	0.108958055260691	-0.0139590122340348	0.0875805020032761	-0.06145869178778	0.156358429239477	-0.130784135594179	0.00786675201861942	-1.8436282453185	0.0793959105829074	0.118673591368388
ENST00000155926.8	TRIB2	23	0.0589656193269266	0.120367118918659	0.0267703918973012	0.0423059658785576	-0.0321952274296254	0.135955596247616	-0.090986835958443	0.0265963810991922	-1.13568614215781	0.268309225030372	0.324169683994681
ENST00000156109.7	GPKOW	24	0.0543897636377046	0.105189974823227	0.00176996920961262	0.0289990090632558	-0.052619794428092	0.100818870632619	-0.0951918698210368	-0.0100477190351471	-2.55689526990732	0.0176264676535969	0.0375811473714088
ENST00000156471.10	AQR	24	0.0442463380305184	0.0862739052851997	0.00451555890456786	0.0395429668986478	-0.0397307791259505	0.0901087395791221	-0.0777803628085957	-0.00168119544330539	-2.16005986536624	0.0414308604083169	0.0713999166970569
ENST00000157600.8	LMCD1	23	0.0595051656613107	0.129343238391145	0.0430556525084524	0.188151680467895	-0.0164495131528582	0.141681178437271	-0.0777170490872727	0.0448180227815563	-0.556807153863086	0.583279764890336	0.634633329708822
ENST00000157812.7	PSMC4	24	0.0696862640012002	0.100760094864329	-0.005269719483136	0.0411662285669957	-0.0749559834843362	0.0938367597403886	-0.114579772019466	-0.0353321949492067	-3.91326199270031	0.000697597037244302	0.00375671564341274
ENST00000158771.9	DERL2	24	0.0566445650915556	0.115765063103626	-0.0511994762856575	0.0570551369492035	-0.107844041377213	0.120514756600918	-0.158732960007063	-0.0569551227473635	-4.38390916804549	0.000216238841296868	0.00156624495736837
ENST00000159087.7	ANO8	23	0.145342743614407	0.137028820185565	0.0757387180986453	0.0742266605237774	-0.0696040255157619	0.166434179814603	-0.141575561925736	0.00236751089421186	-2.00565280575057	0.0573459212162551	0.0917423910788488
ENST00000159111.9	KDM4B	24	0.121593371174425	0.109002312038147	0.088255550704262	0.0703983079097948	-0.0333378204701631	0.120804878872547	-0.0843492469910795	0.0176736060507533	-1.35194290248105	0.189539675324475	0.241461503499543
ENST00000160262.10	ICAM3	24	0.156191994006955	0.0857481620322418	0.0731699843424287	0.0630251275737375	-0.083022009664526	0.091816207380183	-0.121792593766058	-0.0442514255629943	-4.42975302293731	0.000192871838176345	0.00142823752883429
ENST00000160298.8	CAMSAP3	20	0.132624597807087	0.136843235469834	0.0478461396797883	0.16375017586205	-0.084778458127299	0.174532625287078	-0.166462241151941	-0.00309467510265675	-2.17232044826515	0.0426930238915359	0.0730502663338268
ENST00000160373.8	CTTNBP2	22	0.0600837836298719	0.116261415103982	0.0247198987736905	0.0591756021352795	-0.0353638848561814	0.0942441404440003	-0.0771493958402185	0.0064216261278558	-1.76001735573762	0.0929649269206579	0.134084696712322
ENST00000160827.9	KIF22	24	0.12904210010253	0.109065244036509	0.0432424609651712	0.0663502739162508	-0.0857996391373585	0.123959649546442	-0.138143208481675	-0.0334560697930423	-3.39086689532336	0.00251352515853886	0.00935728977266521
ENST00000161863.9	YTHDC2	24	0.0735098687534614	0.109301733830845	0.039786728363866	0.0579417607926769	-0.0337231403895954	0.107629521927009	-0.0791711016019358	0.0117248208227451	-1.53497822901733	0.138431913953045	0.185252592471343
ENST00000162044.14	TMEM161A	24	0.116214087916786	0.121768512631169	0.0253778051859789	0.04420312891514	-0.0908362827308069	0.0956840827664351	-0.131240127367006	-0.0504324380946073	-4.65077443162188	0.000111146771894495	0.000928680561993733
