transcript_id	genome_ribo_reads	genome_rna_reads	txome_ribo_reads	txome_rna_reads
ENST00000223293.10	2	0	2	0
ENST00000223321.9	0	0	0	0
ENST00000223324.3	518	120	575	88
ENST00000223357.8	1	0	1	0
ENST00000223364.7	1	0	1	0
ENST00000223368.7	310	52	297	32
ENST00000223369.3	626	156	644	129
ENST00000223398.11	247	91	235	69
ENST00000223459.10	37	24	30	15
ENST00000223500.9	692	172	1040	156
ENST00000223528.6	385	32	364	23
ENST00000223641.5	359	73	477	67
ENST00000223642.3	12	2	12	2
ENST00000223795.2	0	0	0	0
ENST00000223862.2	0	0	0	0
ENST00000223864.7	304	12	310	10
ENST00000224073.6	951	511	898	380
ENST00000224140.6	1467	305	1397	227
ENST00000224337.10	0	1	0	0
ENST00000224356.5	2	0	2	0
ENST00000224652.10	346	37	327	24
ENST00000224721.12	0	0	0	0
ENST00000224784.10	2430	1673	1748	761
ENST00000224862.7	109	27	102	22
ENST00000224949.9	1070	195	1039	154
ENST00000224950.8	134	10	133	8
ENST00000225171.7	306	20	307	16
ENST00000225174.8	755	194	727	150
ENST00000225235.5	106	11	97	8
ENST00000225275.4	0	0	0	0
ENST00000225276.10	5	0	3	0
ENST00000225296.8	927	175	896	127
ENST00000225298.12	894	184	1007	159
ENST00000225308.12	656	516	639	393
ENST00000225328.10	0	0	5	0
ENST00000225371.6	0	0	0	0
ENST00000225387.7	0	0	0	0
ENST00000225388.9	1389	168	1346	124
ENST00000225430.9	392	732	1530	1351
ENST00000225504.8	337	60	97	21
ENST00000225512.6	9	20	8	16
ENST00000225519.5	0	0	0	0
ENST00000225525.4	476	98	15	1
ENST00000225538.4	1	0	1	0
ENST00000225550.4	0	0	0	0
ENST00000225577.9	322	54	608	51
ENST00000225609.10	147	10	151	8
ENST00000225614.6	394	54	382	49
ENST00000225655.6	714	949	1209	1032
ENST00000225665.12	764	193	746	153
ENST00000225688.4	168	13	161	13
ENST00000225698.8	1337	613	1458	490
